Metodo,Tarea,Tiempo (ms),Resultado
RabbitMQ,Process,5.00,Exitoso
RabbitMQ,Process,1.00,Exitoso
RabbitMQ,Email,27.00,Exitoso
RabbitMQ,Process,12.00,Exitoso
RabbitMQ,Log,12.00,Exitoso
RabbitMQ,Email,22.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Email,3.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Insert,17.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Insert,6.00,Exitoso
RabbitMQ,Insert,4.00,Exitoso
RabbitMQ,Email,24.00,Exitoso
RabbitMQ,Insert,6.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Email,25.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Process,12.00,Exitoso
RabbitMQ,Email,20.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Insert,4.00,Exitoso
RabbitMQ,Email,2.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Process,4.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Email,28.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,4.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Email,14.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Email,26.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Insert,5.00,Exitoso
RabbitMQ,Email,8.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Email,4.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Insert,4.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Email,9.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Email,10.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Insert,6.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Email,25.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Email,12.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Process,3.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Email,17.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Email,28.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Process,4.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Email,18.00,Exitoso
RabbitMQ,Process,4.00,Exitoso
RabbitMQ,Insert,4.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Email,16.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,6.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Email,16.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Process,11.00,Exitoso
RabbitMQ,Email,19.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Process,9.00,Exitoso
RabbitMQ,Email,20.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Email,5.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Log,9.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Email,5.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,6.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Email,29.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Insert,4.00,Exitoso
RabbitMQ,Email,8.00,Exitoso
RabbitMQ,Log,1.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Process,11.00,Exitoso
RabbitMQ,Email,23.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Email,22.00,Exitoso
RabbitMQ,Process,3.00,Exitoso
RabbitMQ,Email,2.00,Exitoso
RabbitMQ,Insert,5.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Email,16.00,Exitoso
RabbitMQ,Process,4.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Email,10.00,Exitoso
RabbitMQ,Log,0.00,Exitoso
RabbitMQ,Process,3.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Email,7.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
RabbitMQ,Process,20.00,Exitoso
RabbitMQ,Email,21.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Email,3.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Log,6.00,Exitoso
RabbitMQ,Email,14.00,Exitoso
RabbitMQ,Process,0.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Email,17.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Email,27.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Log,1.00,Exitoso
RabbitMQ,Email,3.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Process,9.00,Exitoso
RabbitMQ,Email,10.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Email,20.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,6.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Email,14.00,Exitoso
RabbitMQ,Process,4.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Email,22.00,Exitoso
RabbitMQ,Process,6.00,Exitoso
RabbitMQ,Insert,5.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Email,14.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Email,25.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
RabbitMQ,Email,5.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Email,19.00,Exitoso
RabbitMQ,Process,3.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Email,9.00,Exitoso
RabbitMQ,Process,2.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Email,21.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Email,5.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,5.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Email,21.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Email,26.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Email,6.00,Exitoso
RabbitMQ,Process,9.00,Exitoso
RabbitMQ,Log,9.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,3.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Email,26.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
RabbitMQ,Insert,3.00,Exitoso
RabbitMQ,Email,4.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Insert,0.00,Exitoso
RabbitMQ,Process,8.00,Exitoso
RabbitMQ,Log,5.00,Exitoso
RabbitMQ,Email,10.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,7.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Email,13.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Email,3.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
RabbitMQ,Process,7.00,Exitoso
RabbitMQ,Insert,1.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Email,6.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Process,5.00,Exitoso
RabbitMQ,Log,8.00,Exitoso
RabbitMQ,Email,17.00,Exitoso
RabbitMQ,Insert,5.00,Exitoso
RabbitMQ,Log,4.00,Exitoso
RabbitMQ,Process,16.00,Exitoso
RabbitMQ,Email,23.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
RabbitMQ,Insert,5.00,Exitoso
RabbitMQ,Email,6.00,Exitoso
RabbitMQ,Process,10.00,Exitoso
RabbitMQ,Process,3.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Email,12.00,Exitoso
RabbitMQ,Insert,2.00,Exitoso
RabbitMQ,Email,2.00,Exitoso
RabbitMQ,Log,2.00,Exitoso
